longitude,latitude
-118.1431,33.90337
-118.12877,33.95499
-118.11463,33.93114
-117.97503,34.13981
-117.91776,34.92062
-116.97116,32.80674
-116.94186,32.73975
-116.93476,32.79366
-116.87996,32.84384
-115.57005,32.79211
-118.02346,34.07351
-121.39042,38.42479
-121.3843,38.40913
-120.62809,39.2589
-117.28376,33.03608
-117.26082,33.0509
-118.47952,34.15593
-117.1021,33.11328
-117.08813,33.12962
-117.07678,33.10465
-117.05724,33.13485
-117.25162,33.37546
-118.91472,34.39647
-121.19003,38.6431
-117.43579,34.10662
-117.43543,34.07073
-117.95486,33.72897
-117.97528,33.85928
-117.92451,33.85907
-117.88924,33.8744
-121.29269,38.25221
-118.02928,33.78268
-117.95834,33.78276
-117.95473,33.76001
-117.91772,33.77591
-118.3093,33.90176
-118.30693,33.87311
-118.28873,34.17071
-118.25809,34.15359
-118.25799,34.12708
-118.23945,34.14251
-118.52357,34.26493
-121.22536,38.74361
-121.03889,39.23595
-121.68777,39.36055
-120.60965,35.12112
-117.96352,34.00988
-117.93224,33.99061
-118.306,33.78933
-118.06546,33.83173
-118.36736,33.91653
-118.34251,33.91625
-116.99262,33.74757
-117.37757,34.42668
-117.34632,34.3124
-117.29179,34.41997
-118.18494,34.11626
-117.19787,34.13594
-118.00191,33.6573
-117.98946,33.72494
-117.98833,33.67508
-117.95421,33.68402
-117.1086,32.58413
-116.23803,33.71092
-118.35354,33.9628
-118.35146,33.9453
-118.32681,33.94531
-117.83489,33.69978
-117.83441,33.67844
-117.78625,33.70582
-117.74368,33.64288
-120.80261,38.363
-118.25585,34.23418
-117.96989,33.93997
-117.96019,33.91716
-118.01163,33.91584
-118.0368,33.85896
-117.97434,34.03445
-117.9463,34.0486
-117.64451,33.56474
-117.70964,33.61197
-117.68526,33.55371
-117.33667,33.69339
-117.29895,33.65813
-117.71751,33.63011
-118.47752,35.61772
-116.92234,32.86178
-118.16309,33.83222
-118.13871,33.85233
-118.20367,34.66036
-118.15563,34.67527
